Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Opening Gap,Close - Open,WeekDay,Abs(Diff),Distance from Median,
08-Jan-2020,11939.1,12044.95,11929.6,12025.35,445991640,18281.15,,,4,,,
09-Jan-2020,12153.15,12224.05,12132.55,12215.9,477469878,18456.64,128,63,5,63,,
10-Jan-2020,12271,12311.2,12213.2,12256.8,660627930,18818.62,,,6,,,
13-Jan-2020,12296.7,12337.75,12285.8,12329.55,500968242,17522.13,,,2,,,
14-Jan-2020,12333.1,12374.25,12308.7,12362.3,616260555,17948.92,,,3,,,
15-Jan-2020,12349.4,12355.15,12278.75,12343.3,684352965,17882.51,,,4,,,
16-Jan-2020,12347.1,12389.05,12315.8,12355.5,395670245,16004.06,4,8,5,8,,
17-Jan-2020,12328.4,12385.45,12321.4,12352.35,502060615,21397.63,,,6,,,
20-Jan-2020,12430.5,12430.5,12216.9,12224.55,491609317,21415.43,,,2,,,
21-Jan-2020,12195.3,12230.05,12162.3,12169.85,443976442,18682.65,,,3,,,
22-Jan-2020,12218.35,12225.05,12087.9,12106.9,526294513,19758.68,,,4,,,
23-Jan-2020,12123.75,12189,12094.1,12180.35,867653663,23829.39,17,57,5,57,,
24-Jan-2020,12174.55,12272.15,12149.65,12248.25,593237908,18032.27,,,6,,,
27-Jan-2020,12197.1,12216.6,12107,12119,441158138,17988.61,,,2,,,
28-Jan-2020,12148.1,12163.55,12024.5,12055.8,478484057,20917.62,,,3,,,
29-Jan-2020,12114.9,12169.6,12103.8,12129.5,514362340,20646.18,,,4,,,
30-Jan-2020,12147.75,12150.3,12010.6,12035.8,538138743,19372.67,18,-112,5,112,,
31-Jan-2020,12100.4,12103.55,11945.85,11962.1,771278258,26044.91,,,6,,,
01-Feb-2020,11939,12017.35,11633.3,11661.85,537634767,20598.12,,,7,,,
03-Feb-2020,11627.45,11749.85,11614.5,11707.9,669815788,25415.26,,,2,,,
04-Feb-2020,11786.25,11986.15,11783.4,11979.65,560430291,22338.5,,,3,,,
05-Feb-2020,12005.85,12098.15,11953.35,12089.15,758032580,22998.05,,,4,,,
06-Feb-2020,12120,12160.6,12084.65,12137.95,565116236,21735.92,31,18,5,18,,
07-Feb-2020,12151.15,12154.7,12073.95,12098.35,473475144,16339.61,,,6,,,
10-Feb-2020,12102.35,12103.55,11990.75,12031.5,525674715,17185.14,,,2,,,
11-Feb-2020,12108.4,12172.3,12099,12107.9,480491557,16209.52,,,3,,,
12-Feb-2020,12151,12231.75,12144.3,12201.2,412399174,16598.33,,,4,,,
13-Feb-2020,12219.55,12225.65,12139.8,12174.65,501510138,16315.27,18,-45,5,45,,
14-Feb-2020,12190.15,12246.7,12091.2,12113.45,623053270,20759.51,,,6,,,
17-Feb-2020,12131.8,12159.6,12037,12045.8,455412408,15439.55,,,2,,,
18-Feb-2020,12028.25,12030.75,11908.05,11992.5,677307424,18853,,,3,,,
