date,time,strategy,action,symbol,strikePrice,price
24-Jun-2020,10:58,sma5,Sell,NIFTY,,10471.9
24-Jun-2020,10:58,bb1sd,Sell,NIFTY,,10471.9
24-Jun-2020,10:58,bb2sd,Sell,NIFTY,,10471.9
24-Jun-2020,10:58,stochastic,Sell,NIFTY,,10471.9
24-Jun-2020,10:58,combination,Sell,NIFTY,,10471.9
24-Jun-2020,10:58,sma5,Sell,CALL,10550,41.15
24-Jun-2020,10:58,bb1sd,Sell,CALL,10550,41.15
24-Jun-2020,10:58,stochastic,Sell,CALL,10550,41.15
24-Jun-2020,10:58,combination,Sell,CALL,10550,41.15
24-Jun-2020,10:58,sma5,Buy,PUT,10500,101.4
24-Jun-2020,10:58,bb1sd,Buy,PUT,10500,101.4
24-Jun-2020,10:58,bb2sd,Buy,PUT,10500,101.4
24-Jun-2020,10:58,stochastic,Buy,PUT,10500,101.4
24-Jun-2020,10:58,combination,Buy,PUT,10500,101.4
24-Jun-2020,10:59,bb1sd,Sell,NIFTY,,10461.55
24-Jun-2020,10:59,bb2sd,Sell,NIFTY,,10461.55
24-Jun-2020,10:59,stochastic,Sell,NIFTY,,10461.55
24-Jun-2020,10:59,combination,Sell,NIFTY,,10461.55
24-Jun-2020,10:59,sma5,Sell,CALL,10550,36.9
24-Jun-2020,10:59,bb1sd,Sell,CALL,10550,36.9
24-Jun-2020,10:59,bb2sd,Sell,CALL,10550,36.9
24-Jun-2020,10:59,stochastic,Sell,CALL,10550,36.9
24-Jun-2020,10:59,combination,Sell,CALL,10550,36.9
24-Jun-2020,10:59,bb1sd,Buy,PUT,10500,104.45
24-Jun-2020,10:59,bb2sd,Buy,PUT,10500,104.45
24-Jun-2020,10:59,stochastic,Buy,PUT,10500,104.45
24-Jun-2020,10:59,combination,Buy,PUT,10500,104.45
24-Jun-2020,11:00,bb1sd,Sell,NIFTY,,10456.9
24-Jun-2020,11:00,bb2sd,Sell,NIFTY,,10456.9
24-Jun-2020,11:00,stochastic,Sell,NIFTY,,10456.9
24-Jun-2020,11:00,combination,Sell,NIFTY,,10456.9
24-Jun-2020,11:00,bb1sd,Sell,CALL,10550,32.65
24-Jun-2020,11:00,bb2sd,Sell,CALL,10550,32.65
24-Jun-2020,11:00,stochastic,Sell,CALL,10550,32.65
24-Jun-2020,11:00,combination,Sell,CALL,10550,32.65
24-Jun-2020,11:00,bb1sd,Buy,PUT,10500,105.55
24-Jun-2020,11:00,bb2sd,Buy,PUT,10500,105.55
24-Jun-2020,11:00,stochastic,Buy,PUT,10500,105.55
24-Jun-2020,11:00,combination,Buy,PUT,10500,105.55
24-Jun-2020,11:01,bb1sd,Sell,NIFTY,,10458.2
24-Jun-2020,11:01,stochastic,Sell,NIFTY,,10458.2
24-Jun-2020,11:01,combination,Sell,NIFTY,,10458.2
24-Jun-2020,11:01,bb1sd,Sell,CALL,10550,33.3
24-Jun-2020,11:01,bb2sd,Sell,CALL,10550,33.3
24-Jun-2020,11:01,stochastic,Sell,CALL,10550,33.3
24-Jun-2020,11:01,combination,Sell,CALL,10550,33.3
24-Jun-2020,11:01,bb1sd,Buy,PUT,10500,106.45
24-Jun-2020,11:01,stochastic,Buy,PUT,10500,106.45
24-Jun-2020,11:01,combination,Buy,PUT,10500,106.45
24-Jun-2020,11:02,sma5,Buy,NIFTY,,10466.5
24-Jun-2020,11:02,bb1sd,Sell,NIFTY,,10466.5
24-Jun-2020,11:02,stochastic,Sell,NIFTY,,10466.5
24-Jun-2020,11:02,combination,Sell,NIFTY,,10466.5
24-Jun-2020,11:02,bb1sd,Sell,CALL,10550,34.95
24-Jun-2020,11:02,stochastic,Sell,CALL,10550,34.95
24-Jun-2020,11:02,combination,Sell,CALL,10550,34.95
24-Jun-2020,11:02,sma5,Sell,PUT,10500,103.85
24-Jun-2020,11:02,bb1sd,Buy,PUT,10500,103.85
24-Jun-2020,11:02,stochastic,Buy,PUT,10500,103.85
24-Jun-2020,11:02,combination,Buy,PUT,10500,103.85
24-Jun-2020,11:03,sma5,Buy,CALL,10550,37.4
24-Jun-2020,11:03,bb1sd,Sell,CALL,10550,37.4
24-Jun-2020,11:06,sma5,Sell,CALL,10550,37.5
24-Jun-2020,11:06,sma5,Sell,NIFTY,,10472.65
24-Jun-2020,11:07,sma5,Buy,PUT,10500,103.1
24-Jun-2020,11:07,bb1sd,Buy,PUT,10500,103.1
24-Jun-2020,11:08,sma5,Buy,NIFTY,,10483.9
24-Jun-2020,11:08,sma20,Buy,NIFTY,,10483.9
24-Jun-2020,11:08,sma5,Sell,PUT,10500,94
24-Jun-2020,11:08,sma20,Sell,PUT,10500,94
24-Jun-2020,11:08,sma5,Buy,CALL,10550,40
24-Jun-2020,11:11,bb1sd,Buy,NIFTY,,10491
24-Jun-2020,11:12,sma5,Sell,NIFTY,,10483.9
24-Jun-2020,11:12,sma5,Sell,CALL,10550,39.95
24-Jun-2020,11:12,sma20,Sell,CALL,10550,39.95
24-Jun-2020,11:12,sma5,Buy,PUT,10500,95.1
24-Jun-2020,11:14,sma20,Sell,CALL,10550,38.2
24-Jun-2020,11:15,sma20,Sell,NIFTY,,10471.2
24-Jun-2020,11:17,sma5,Sell,CALL,10550,37.65
24-Jun-2020,11:17,sma20,Sell,CALL,10550,37.65
24-Jun-2020,11:17,sma5,Buy,PUT,10500,103.15
24-Jun-2020,11:17,sma20,Sell,NIFTY,,10473.6
24-Jun-2020,11:17,sma20,Buy,PUT,10500,103.15
24-Jun-2020,11:20,sma5,Buy,NIFTY,,10479.7
24-Jun-2020,11:20,sma20,Buy,NIFTY,,10479.7
24-Jun-2020,11:20,sma5,Sell,PUT,10500,97.35
24-Jun-2020,11:20,sma20,Sell,PUT,10500,97.35
24-Jun-2020,11:21,bb1sd,Buy,NIFTY,,10487.1
24-Jun-2020,11:21,bb1sd,Buy,CALL,10550,40.1
24-Jun-2020,11:21,sma20,Buy,CALL,10550,40.1
24-Jun-2020,11:24,sma5,Sell,NIFTY,,10479.85
24-Jun-2020,11:24,sma20,Sell,NIFTY,,10479.85
24-Jun-2020,11:24,sma5,Sell,CALL,10550,38.35
24-Jun-2020,11:24,sma20,Sell,CALL,10550,38.35
24-Jun-2020,11:24,sma20,Buy,PUT,10500,99
