"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"19566","737J28","GS","7.37% G-Sec. 23 Oct 28",0.01,1,"","",0,100,"IN0020230101",0,0,0,0,"","","",0,0,0,109.51,99.09,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","737GS2028"
"19578","UGASUG","EQ","UGAR SUGAR WORKS LTD",0.01,1,"","",0,1,"INE071E01023",62.1,33.75,135.9,7.35,"","","",0,0,0,68.14,45.44,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UGARSUGAR"
"19579","ARVCOM","SM","ARVIND PORT AND INFRA LIMITED",0.01,1,"","",0,10,"INE0P4T01013",71.25,24.4,152.8,24.4,"","","",0,0,0,40.7,33.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ARVINDPORT"
"19585","BSE","EQ","BSE LIMITED",0.01,1,"","",0,2,"INE118H01025",4446.8,2021.5,4446.8,30.56,"","","",0,0,0,3593,2939.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BSE"
"19597","IRMENE","EQ","IRM ENERGY LIMITED",0.01,1,"","",0,10,"INE07U701015",393,165.4,641,165.4,"","","",0,0,0,297.2,243.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IRMENERGY"
"19599","PRAS","EQ","PRAKASH STEELAGE LIMITED",0.01,1,"","",0,1,"INE696K01024",6.57,3.48,243.85,0.05,"","","",0,0,0,4.38,2.92,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PRAKASHSTL"
"1961","PANENE","EQ","PANASONIC ENERGY INDIA CO LTD",0.01,1,"","",0,10,"INE795A01017",0,0,145,16,"","","",0,0,0,25.5,17,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LAKHNNATNL"
"19631","PRILI","EQ","PRICOL LIMITED",0.01,1,"","",0,1,"INE726V01018",823,499.9,823,19.47,"","","",0,0,0,921,614,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PRICOLLTD"
"19632","WOMLIM","ST","WOMANCART LIMITED",0.01,1,"","",0,10,"INE0Q9601016",358,88,437.15,88,"","","",0,0,0,111.35,100.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","WOMANCART"
"19633","MIRASS","EQ","MIRAE ASSET NIFTY IT ETF",0.01,1,"","",0,10,"INF769K01KV5",42.02,27.22,48.05,27.22,"","","",0,0,0,33.51,27.43,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ITETF"
"1964","TRENT","EQ","TRENT LTD",0.01,1,"","",0,1,"INE849A01020",3485.08,2184.76,5563.33,2.88,"","","",0,0,0,3106.4,2541.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TRENT"
"19640","MIRALP","EQ","MIRAE ASSET NIFTY ALPHA 30 ETF",0.01,1,"","",0,10,"INF769K01KU7",27.61,21.8,30.2,16.56,"","","",0,0,0,28.96,23.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ALPHAETF"
"19646","MAXEST","EQ","MAX ESTATES LIMITED",0.01,1,"","",0,1,"INE03EI01018",595,305.45,698.75,242.75,"","","",0,0,0,712.8,475.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MAXESTATES"
"19653","KALCO","BE","KALYANI COMMERCIALS LIMITED",0.01,1,"","",0,10,"INE610E01010",144.99,144.99,144.99,119.3,"","","",0,0,0,152.23,137.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KALYANI"
"19672","PODHOU","BZ","PODDAR HOUSING DEVELOPMENT LTD",0.01,1,"","",0,10,"INE888B01018",0,0,1645,33.2,"","","",0,0,0,47.8,43.26,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PODDARHOUS"
"19679","ICIGOL","EQ","ICICI PRUDENTIAL GOLD ETF",0.01,1,"","",0,1,"INF109KC1NT3",158,93.7,158,18.6,"","","",0,0,0,139.02,123.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GOLDIETF"
"19681","RAJCAS","SM","RAJGOR CASTOR DERIVATIVES",0.01,1,"","",0,10,"INE0BZQ01011",22.5,13.25,42.51,11.13,"","","",0,0,0,14.1,12.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RCDL"
"19686","BLUJET","EQ","BLUE JET HEALTHCARE LIMITED",0.01,1,"","",0,2,"INE0KBH01020",705,325,1027.8,319.5,"","","",0,0,0,690.3,460.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BLUEJET"
"19691","JITINF","EQ","JITF INFRALOGISTICS LTD",0.01,1,"","",0,2,"INE863T01013",433.15,222.35,1215,3.15,"","","",0,0,0,313.2,256.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JITFINFRA"
"19692","ONDOO","SM","ON DOOR CONCEPTS LTD",0.01,1,"","",0,10,"INE00ER01015",340,100,544.9,100,"","","",0,0,0,322.4,215,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ONDOOR"
"19698","HMT","BZ","HMT LIMITED",0.01,1,"","",0,10,"INE262A01018",0,0,164.1,2.7,"","","",0,0,0,64.38,58.26,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HMT"
"1970","LAKVIL","EQ","LAKSHMI VILAS BANK LTD",0.01,1,"","",0,10,"INE694C01018",25.4,6.95,194.9,5.1,"","","",0,0,0,8,7.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LAKSHVILAS"
"19705","SBIN1D","EQ","SBI NIFTY 1D RATE ETF",0.01,1,"","",0,1000,"INF200KA13Z8",1010.02,970.23,1029.99,970.23,"","","",0,0,0,1049.98,950,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LIQUIDSBI"
"1971","URJRE1","BE","URJA GLOBAL LTD RIGHTS ENTITLE",0.01,1,"","",0,1,"INE550C20012",9.95,3.85,9.95,3.85,"","","",0,0,0,6.85,2.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","URJA-RE"
"19731","GUJPPL","EQ","GUJARAT PIPAVAV PORT LIMITED",0.01,1,"","",0,10,"INE517F01014",200.09,141.55,261.9,41,"","","",0,0,0,192.42,128.28,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GPPL"
"19752","SHAFMC","SM","SHANTHALA FMCG PRODUCTS LTD",0.01,1,"","",0,10,"INE0Q9Q01017",41.5,14.1,145,14.1,"","","",0,0,0,18.8,12.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHANTHALA"
"19756","INHN48","N5","9.25%SAMMAAN CAPITAL LTD SEP25",0.01,1,"","",0,1000,"INE148I07PA7",0,0,980,940,"","","",0,0,0,1160.41,773.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","925IHFL25"
"19758","INHN52","N6","9.9% INDIABULLS HOU. SEPT 26",0.01,1,"","",0,1000,"INE148I07PX9",0,0,0,0,"","","",0,0,0,1200,800,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","940IHFL26"
"1976","LANESE","EQ","LAN ESEDA INDUSTRIES LTD",0.01,1,"","",0,10,"INE520B01017",0,0,16.5,0.35,"","","",0,0,0,0.7,0.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LANESEDA"
"19760","INHN51","N7","9.4% INDIABULLS HOU. SEPT 26",0.01,1,"","",0,1000,"INE148I07PY7",0,0,1060,910,"","","",0,0,0,429.61,286.41,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","990SCL26"
"19761","ADFFOO","EQ","ADF FOODS LIMITED",0.01,1,"","",0,2,"INE982B01027",346.95,153.1,353.95,0.45,"","","",0,0,0,313.7,209.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ADFFOODS"
"19763","INHN54","N8","INDIABULLS HOU.FIN.9.02",0.01,1,"","",0,1000,"INE148I07QE7",0,0,0,0,"","","",0,0,0,400.21,266.81,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","902SCL26"
"19768","INHN53","N9","INDIABULLS HOU.FIN.9.48",0.01,1,"","",0,1000,"INE148I07PZ4",0,0,1111,985,"","","",0,0,0,648,432,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","948SCL26"
"19772","INHN55","NB","0% INDIABULLS HOU. 26 SEPT 26",0.01,1,"","",0,1000,"INE148I07QB3",0,0,0,0,"","","",0,0,0,1577.1,1051.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SCLZC26C"
"19774","INHN64","NC","INDIABULLS HOU.FIN.9.57",0.01,1,"","",0,1000,"INE148I07QC1",0,0,0,0,"","","",0,0,0,685.7,457.14,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","888SCL25D"
"19776","INHN63","ND","INDIABULLS HOU.FIN.10.03",0.01,1,"","",0,1000,"INE148I07QD9",0,0,995,995,"","","",0,0,0,636.57,424.39,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","980SCL33C"
"19779","PARF","SM","PARAGON FINE AND SPEC  CHEM LT",0.01,1,"","",0,10,"INE0N4G01012",64.9,34.1,236,34.1,"","","",0,0,0,64.35,42.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PARAGON"
"19783","APMFIN","EQ","MUFIN GREEN FINANCE LIMITED",0.01,1,"","",0,1,"INE08KJ01020",141.5,85.13,274.4,63.11,"","","",0,0,0,160.14,106.76,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MUFIN"
"1979","LAKMAC","EQ","LMW LIMITED",0.01,1,"","",0,10,"INE269B01029",20151,11920,20151,48.2,"","","",0,0,0,21310,14208,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LMW"
"19795","CELWOR","EQ","CELLO WORLD LTD",0.01,1,"","",0,5,"INE0LMW01024",673.8,319.45,1025,319.45,"","","",0,0,0,386.9,258,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CELLO"
"19801","TRASEA","SM","TRANSTEEL SEATING TECH LTD",0.01,1,"","",0,10,"INE0NVI01020",169,71.15,169,42,"","","",0,0,0,88.2,72.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TRANSTEEL"
"19804","WELINV","BE","WELSPUN INVEST & COMERCIAL LTD",0.01,1,"","",0,10,"INE389K01018",2367.1,1000.1,2367.1,15,"","","",0,0,0,2366.4,2273.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","WELINV"
"19809","MAIMED","SM","MAITREYA MEDICARE LTD",0.01,1,"","",0,10,"INE0PLQ01011",292.95,107.5,400,107.5,"","","",0,0,0,139.1,92.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MAITREYA"
"19813","HONCON","EQ","HONASA CONSUMER LTD",0.01,1,"","",0,10,"INE0J5401028",509.8,248.4,547,197.51,"","","",0,0,0,575.45,383.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HONASA"
"19821","PIRN18","N0","PIRAMAL ENTERPRISES 3NOV25",0.01,1,"","",0,1000,"INE140A07757",0,0,1090,990.2,"","","",0,0,0,1278.96,852.64,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","9PEL25"
