"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"839209","OPTIND","BSESEN","OPTION","24-Sep-2026","76600","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",880,0,20,5,"BSE SENSEX","","","","",0.05,3977.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839210","OPTIND","BSESEN","OPTION","24-Sep-2026","78900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",2480,0,20,5,"BSE SENSEX","","","","",1365.2,6623.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839212","OPTIND","BSESEN","OPTION","24-Sep-2026","72900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",464180,0,20,5,"BSE SENSEX","","","","",0.05,71.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839213","OPTIND","BSESEN","OPTION","24-Sep-2026","83200","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",100,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839217","OPTIND","BSESEN","OPTION","24-Sep-2026","81800","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839220","OPTIND","BSESEN","OPTION","24-Sep-2026","77200","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1300,0,20,5,"BSE SENSEX","","","","",0.05,4958.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839221","OPTIND","BSESEN","OPTION","24-Sep-2026","79500","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",2260,0,20,5,"BSE SENSEX","","","","",2150.9,7409.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839222","OPTIND","BSESEN","OPTION","24-Sep-2026","71200","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",131400,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839223","OPTIND","BSESEN","OPTION","24-Sep-2026","73500","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1539440,0,20,5,"BSE SENSEX","","","","",0.05,286.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839224","OPTIND","BSESEN","OPTION","24-Sep-2026","75800","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",4420,0,20,5,"BSE SENSEX","","","","",0.05,3377.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
