eventName,open,close,high,low,S1,R1,S2,R2
priceUpdate_60,23974.75,23979.8,23980.3,23971.7,23974.23,23982.83,23968.67,23985.87
priceUpdate_120,23974.8,23983.1,23986.85,23971.7,23974.25,23989.4,23965.4,23995.7
priceUpdate_60,23979.55,23975.9,23986.85,23974,23970.98,23983.83,23966.07,23991.77
priceUpdate_60,23976.85,23966,23977.3,23965.4,23961.83,23973.73,23957.67,23981.47
priceUpdate_120,23982.55,23973.45,23982.55,23965.4,23965.05,23982.2,23956.65,23990.95
priceUpdate_60,23966.7,23972.9,23977.9,23965.8,23966.5,23978.6,23960.1,23984.3
priceUpdate_300,23972.6,23967.45,23986.85,23965.4,23959.62,23981.07,23951.78,23994.68
priceUpdate_60,23973.55,23973.7,23974.9,23965.55,23967.87,23977.22,23962.03,23980.73
priceUpdate_120,23973.1,23982.3,23983.9,23965.55,23970.6,23988.95,23958.9,23995.6
priceUpdate_60,23972.8,23980.35,23984.55,23971.8,23973.25,23986,23966.15,23991.65
priceUpdate_60,23981.1,23984.65,23986.8,23979.15,23980.27,23987.92,23975.88,23991.18
priceUpdate_120,23982.7,23988.35,23989.6,23979.15,23981.8,23992.25,23975.25,23996.15
priceUpdate_60,23983.45,23986.4,23989.6,23979.2,23980.53,23990.93,23974.67,23995.47
priceUpdate_60,23987.55,23993.2,23994.35,23984.65,23987.12,23996.82,23981.03,24000.43
priceUpdate_300,23969.2,23992.4,23994.35,23966.95,23974.78,24002.18,23957.17,24011.97
priceUpdate_120,23988.45,23991.65,23995.6,23983.8,23985.1,23996.9,23978.55,24002.15
priceUpdate_60,23993.35,23980.5,23995.6,23980,23975.13,23990.73,23969.77,24000.97
priceUpdate_60,23979.85,23976.45,23982.3,23972.85,23972.1,23981.55,23967.75,23986.65
priceUpdate_120,23990.75,23981.25,23991.15,23972.85,23972.35,23990.65,23963.45,24000.05
priceUpdate_60,23977.6,23984,23986,23977.6,23979.07,23987.47,23974.13,23990.93
priceUpdate_60,23983.05,23980.4,23984.75,23976.75,23976.52,23984.52,23972.63,23988.63
priceUpdate_120,23980.75,23989,23989.95,23976.75,23980.52,23993.72,23972.03,23998.43
priceUpdate_60,23980,23990.2,23992.15,23978.95,23982.05,23995.25,23973.9,24000.3
priceUpdate_300,23993.55,23990.8,23995.6,23972.85,23977.23,23999.98,23963.67,24009.17
priceUpdate_60,23990.3,24000.5,24003.55,23987.1,23990.55,24007,23980.6,24013.5
priceUpdate_120,23988.25,24010.05,24010.65,23987.1,23994.55,24018.1,23979.05,24026.15
priceUpdate_60,24000.85,24011.15,24013.5,23999.65,24002.7,24016.55,23994.25,24021.95
