Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,40938,550,UNOMINDA,UNOMINDA28APR26P1560,28-APR-2026,OPTSTK,PE,1560,0.05,
NFO,40937,550,UNOMINDA,UNOMINDA28APR26C1560,28-APR-2026,OPTSTK,CE,1560,0.05,
NFO,40936,550,UNOMINDA,UNOMINDA30MAR26P1800,30-MAR-2026,OPTSTK,PE,1800,0.05,
NFO,40935,550,UNOMINDA,UNOMINDA30MAR26C1800,30-MAR-2026,OPTSTK,CE,1800,0.05,
NFO,40934,550,UNOMINDA,UNOMINDA30MAR26P1540,30-MAR-2026,OPTSTK,PE,1540,0.05,
NFO,40933,1450,TATAPOWER,TATAPOWER30MAR26P485,30-MAR-2026,OPTSTK,PE,485,0.05,
NFO,40932,550,UNOMINDA,UNOMINDA30MAR26C1540,30-MAR-2026,OPTSTK,CE,1540,0.05,
NFO,40931,65,NIFTY,NIFTY07APR26C25500,07-APR-2026,OPTIDX,CE,25500,0.05,
NFO,40930,1450,TATAPOWER,TATAPOWER30MAR26C485,30-MAR-2026,OPTSTK,CE,485,0.05,
NFO,40929,1450,TATAPOWER,TATAPOWER30MAR26P475,30-MAR-2026,OPTSTK,PE,475,0.05,
NFO,40928,1450,TATAPOWER,TATAPOWER30MAR26C475,30-MAR-2026,OPTSTK,CE,475,0.05,
NFO,40927,65,NIFTY,NIFTY07APR26P25450,07-APR-2026,OPTIDX,PE,25450,0.05,
NFO,40926,65,NIFTY,NIFTY07APR26C25450,07-APR-2026,OPTIDX,CE,25450,0.05,
NFO,40925,65,NIFTY,NIFTY07APR26P25400,07-APR-2026,OPTIDX,PE,25400,0.05,
NFO,40924,400,UNITDSPR,UNITDSPR28APR26P1960,28-APR-2026,OPTSTK,PE,1960,0.05,
NFO,40923,400,UNITDSPR,UNITDSPR28APR26C1960,28-APR-2026,OPTSTK,CE,1960,0.05,
NFO,40922,400,UNITDSPR,UNITDSPR30MAR26P2020,30-MAR-2026,OPTSTK,PE,2020,0.05,
NFO,40921,400,UNITDSPR,UNITDSPR30MAR26C2020,30-MAR-2026,OPTSTK,CE,2020,0.05,
NFO,40920,65,NIFTY,NIFTY07APR26C25400,07-APR-2026,OPTIDX,CE,25400,0.05,
NFO,40919,65,NIFTY,NIFTY07APR26P25350,07-APR-2026,OPTIDX,PE,25350,0.05,
NFO,40918,400,UNITDSPR,UNITDSPR30MAR26P1710,30-MAR-2026,OPTSTK,PE,1710,0.05,
NFO,40917,400,UNITDSPR,UNITDSPR30MAR26C1710,30-MAR-2026,OPTSTK,CE,1710,0.05,
NFO,40916,65,NIFTY,NIFTY07APR26C25350,07-APR-2026,OPTIDX,CE,25350,0.05,
NFO,40915,65,NIFTY,NIFTY07APR26P25300,07-APR-2026,OPTIDX,PE,25300,0.05,
NFO,40914,65,NIFTY,NIFTY07APR26C25300,07-APR-2026,OPTIDX,CE,25300,0.05,
NFO,40913,65,NIFTY,NIFTY07APR26P25250,07-APR-2026,OPTIDX,PE,25250,0.05,
