token,ltp,ltt
NIFTY,24955.45,1755835467
NIFTY,24954.65,1755835467
NIFTY,24955.55,1755835468
NIFTY,24955.85,1755835468
NIFTY,24957.05,1755835469
NIFTY,24956.45,1755835469
NIFTY,24956.55,1755835470
NIFTY,24956.8,1755835470
NIFTY,24957.05,1755835471
NIFTY,24957.75,1755835471
NIFTY,24957.8,1755835472
NIFTY,24958.3,1755835472
NIFTY,24957.9,1755835473
NIFTY,24957.75,1755835473
NIFTY,24957.85,1755835474
NIFTY,24957.95,1755835474
NIFTY,24958,1755835475
NIFTY,24957.9,1755835475
NIFTY,24957.5,1755835476
NIFTY,24957.25,1755835476
NIFTY,24957,1755835477
NIFTY,24956.85,1755835477
NIFTY,24956.8,1755835478
NIFTY,24957.15,1755835478
NIFTY,24957.65,1755835479
NIFTY,24957.4,1755835479
NIFTY,24958.65,1755835480
NIFTY,24958.75,1755835480
NIFTY,24960.1,1755835481
NIFTY,24960.3,1755835481
NIFTY,24960,1755835482
NIFTY,24959.85,1755835482
NIFTY,24959.5,1755835483
NIFTY,24959.75,1755835483
NIFTY,24959.95,1755835484
NIFTY,24960.35,1755835484
NIFTY,24960.6,1755835485
NIFTY,24960.8,1755835485
NIFTY,24960.85,1755835486
NIFTY,24960.8,1755835486
NIFTY,24960.95,1755835487
NIFTY,24961.2,1755835487
NIFTY,24961.65,1755835488
NIFTY,24962,1755835488
NIFTY,24962.2,1755835489
NIFTY,24962.7,1755835489
NIFTY,24962.8,1755835490
NIFTY,24962.55,1755835490
NIFTY,24963.1,1755835491
NIFTY,24963,1755835491
NIFTY,24962.65,1755835492
NIFTY,24964,1755835492
NIFTY,24964.45,1755835493
NIFTY,24963.75,1755835493
NIFTY,24964.05,1755835494
NIFTY,24964,1755835494
NIFTY,24964.65,1755835495
NIFTY,24964.9,1755835495
NIFTY,24965.2,1755835496
NIFTY,24965.05,1755835496
NIFTY,24964.55,1755835497
NIFTY,24964.1,1755835497
NIFTY,24964.85,1755835498
NIFTY,24964.3,1755835498
NIFTY,24964.9,1755835499
NIFTY,24964.5,1755835499
NIFTY,24965.05,1755835500
NIFTY,24965.25,1755835501
NIFTY,24964.4,1755835501
NIFTY,24963.9,1755835502
NIFTY,24964.85,1755835502
NIFTY,24963.5,1755835503
NIFTY,24963.1,1755835503
NIFTY,24962.8,1755835504
NIFTY,24963.15,1755835505
NIFTY,24963.05,1755835505
NIFTY,24962.85,1755835506
NIFTY,24962.35,1755835506
NIFTY,24962.55,1755835507
NIFTY,24962.95,1755835508
NIFTY,24962,1755835508
NIFTY,24963.2,1755835509
NIFTY,24962.85,1755835509
NIFTY,24963.15,1755835510
NIFTY,24963.4,1755835510
NIFTY,24963.75,1755835511
NIFTY,24964.25,1755835511
NIFTY,24963.45,1755835512
NIFTY,24963.6,1755835512
NIFTY,24964.45,1755835513
NIFTY,24964.85,1755835513
NIFTY,24965.1,1755835514
NIFTY,24965.3,1755835514
NIFTY,24965,1755835515
NIFTY,24965.15,1755835515
NIFTY,24964.85,1755835516
NIFTY,24964.8,1755835516
NIFTY,24965.65,1755835517
NIFTY,24966.95,1755835517
NIFTY,24966.6,1755835518
NIFTY,24965.15,1755835518
NIFTY,24965.05,1755835519
NIFTY,24965.45,1755835519
NIFTY,24965.6,1755835520
NIFTY,24965.9,1755835520
NIFTY,24966.15,1755835521
NIFTY,24966.25,1755835521
NIFTY,24966.65,1755835522
NIFTY,24965.95,1755835522
NIFTY,24965.3,1755835523
NIFTY,24966.55,1755835523
NIFTY,24967.3,1755835524
NIFTY,24967.15,1755835524
NIFTY,24967.75,1755835525
NIFTY,24967.55,1755835525
NIFTY,24967.35,1755835526
NIFTY,24967.8,1755835526
NIFTY,24967.75,1755835527
NIFTY,24967.6,1755835527
NIFTY,24967.95,1755835528
NIFTY,24967.45,1755835528
NIFTY,24967.9,1755835529
NIFTY,24968.35,1755835529
NIFTY,24967.35,1755835530
NIFTY,24967.15,1755835530
NIFTY,24967.45,1755835531
NIFTY,24967.3,1755835531
NIFTY,24967.25,1755835532
NIFTY,24967.9,1755835532
NIFTY,24967.5,1755835533
NIFTY,24967.7,1755835533
NIFTY,24967.25,1755835534
NIFTY,24967.2,1755835534
NIFTY,24966.85,1755835535
NIFTY,24966.65,1755835535
NIFTY,24966.85,1755835536
NIFTY,24967,1755835536
NIFTY,24966.75,1755835537
NIFTY,24967,1755835537
NIFTY,24967.3,1755835538
NIFTY,24967.4,1755835538
NIFTY,24967.3,1755835539
NIFTY,24967,1755835539
NIFTY,24967.2,1755835540
NIFTY,24966.95,1755835540
NIFTY,24967.1,1755835541
NIFTY,24966.55,1755835541
NIFTY,24966.1,1755835542
NIFTY,24966,1755835542
NIFTY,24966.2,1755835543
NIFTY,24965.2,1755835543
NIFTY,24966.05,1755835544
NIFTY,24966.3,1755835544
NIFTY,24965.9,1755835545
NIFTY,24966.1,1755835545
NIFTY,24966.65,1755835546
NIFTY,24966.15,1755835547
NIFTY,24966.2,1755835548
