open,high,low,close,average,median,stdDeviation,trend,macd,rsi,bollinger,time,diff,range,diffFromHigh
23397.55,23399.05,23392.4,23392.80,23396.302833333324,23396.425000000003,1.4721130976329213,Sideways,DOWN,NEUTRAL,neutral,1.739167693725e+12,-4.75,6.649999999997817,93.9849624060459
23392.85,23397.9,23388.6,23392.05,23392.92833333332,23392.7,2.3716338718745287,Sideways,DOWN,NEUTRAL,neutral,1.739167851724e+12,-0.7999999999992724,9.30000000000291,62.903225806455396
23392.20,23392.2,23380,23385.30,23383.555166666665,23383.4,2.41826693568397,Sideways,DOWN,NEUTRAL,neutral,1.739168007725e+12,-6.900000000001455,12.200000000000728,56.55737704918889
23385.65,23401.25,23383.85,23397.05,23392.442833333334,23393.25,4.9416873271068855,Sideways,DOWN,NEUTRAL,neutral,1.739168167225e+12,11.399999999997817,17.400000000001455,24.13793103448492
23396.70,23396.85,23390.35,23391.05,23393.141166666665,23393,1.1124958302043955,Sideways,DOWN,NEUTRAL,neutral,1.739168324725e+12,-5.650000000001455,6.5,89.23076923075803
23391.20,23391.5,23377.5,23380.35,23383.453500000025,23381.95,4.479562413525043,Sideways,DOWN,NEUTRAL,neutral,1.739168480228e+12,-10.850000000002183,14,79.64285714286754
23380.45,23387.4,23371.9,23387.40,23376.417333333342,23375.85,2.8266646226408527,Sideways,DOWN,DOWN,neutral,1.739168636726e+12,6.950000000000728,15.5,0
23386.70,23390.2,23380.35,23385.25,23385.351000000017,23385.25,1.9598721897103968,Sideways,DOWN,NEUTRAL,neutral,1.739168795727e+12,-1.4500000000007276,9.850000000002183,50.25380710659524
23385.15,23388.65,23373.8,23373.85,23379.23483333332,23377.35,4.386822499131825,Sideways,DOWN,NEUTRAL,neutral,1.739168951228e+12,-11.30000000000291,14.850000000002183,99.66329966330461
23375.30,23375.3,23345.35,23346.25,23362.011499999993,23364.775,9.68973560440808,Sideways,DOWN,NEUTRAL,neutral,1.739169106727e+12,-29.049999999999272,29.950000000000728,96.9949916527498
23346.45,23358.4,23338.55,23356.50,23347.72083333332,23345.5,6.104595889346104,Sideways,DOWN,NEUTRAL,neutral,1.739169259731e+12,10.049999999999272,19.850000000002183,9.571788413104516
