Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,98816,2925,CESC,CESC24APR25C150,24-APR-2025,OPTSTK,CE,150,0.05,
NFO,98815,2925,CESC,CESC24APR25P140,24-APR-2025,OPTSTK,PE,140,0.05,
NFO,98814,2925,CESC,CESC24APR25C140,24-APR-2025,OPTSTK,CE,140,0.05,
NFO,98813,1225,HINDZINC,HINDZINC24APR25P600,24-APR-2025,OPTSTK,PE,600,0.05,
NFO,98812,1225,HINDZINC,HINDZINC24APR25C600,24-APR-2025,OPTSTK,CE,600,0.05,
NFO,98811,1225,HINDZINC,HINDZINC24APR25P590,24-APR-2025,OPTSTK,PE,590,0.05,
NFO,98810,1225,HINDZINC,HINDZINC24APR25C590,24-APR-2025,OPTSTK,CE,590,0.05,
NFO,98809,1225,HINDZINC,HINDZINC24APR25P580,24-APR-2025,OPTSTK,PE,580,0.05,
NFO,98808,1225,HINDZINC,HINDZINC24APR25C580,24-APR-2025,OPTSTK,CE,580,0.05,
NFO,98807,1225,HINDZINC,HINDZINC24APR25P570,24-APR-2025,OPTSTK,PE,570,0.05,
NFO,98806,1225,HINDZINC,HINDZINC24APR25C570,24-APR-2025,OPTSTK,CE,570,0.05,
