
=== BACKTEST RESULTS (sorted by Win%) ===
+--------+----------+--------+-------+--------+
| Target | StopLoss | Trades | Win%  | P&L    |
| 9      | 19       | N/A    | N/A   | N/A    |
| 9      | 20       | N/A    | N/A   | N/A    |
| 9      | 21       | N/A    | N/A   | N/A    |
| 9      | 22       | N/A    | N/A   | N/A    |
| 9      | 23       | N/A    | N/A   | N/A    |
| 9      | 26       | N/A    | N/A   | N/A    |
| 9      | 28       | N/A    | N/A   | N/A    |
| 9      | 30       | N/A    | N/A   | N/A    |
| 10     | 5        | N/A    | N/A   | N/A    |
| 10     | 6        | N/A    | N/A   | N/A    |
| 10     | 8        | N/A    | N/A   | N/A    |
| 10     | 9        | N/A    | N/A   | N/A    |
| 10     | 10       | N/A    | N/A   | N/A    |
| 10     | 11       | N/A    | N/A   | N/A    |
| 10     | 13       | N/A    | N/A   | N/A    |
| 10     | 15       | 0      | N/A   | 0      |
| 10     | 17       | N/A    | N/A   | N/A    |
| 10     | 18       | N/A    | N/A   | N/A    |
| 10     | 19       | N/A    | N/A   | N/A    |
| 10     | 20       | N/A    | N/A   | N/A    |
| 10     | 21       | N/A    | N/A   | N/A    |
| 10     | 22       | N/A    | N/A   | N/A    |
| 10     | 23       | N/A    | N/A   | N/A    |
| 10     | 24       | N/A    | N/A   | N/A    |
| 10     | 26       | N/A    | N/A   | N/A    |
| 10     | 27       | N/A    | N/A   | N/A    |
| 10     | 28       | N/A    | N/A   | N/A    |
| 11     | 6        | N/A    | N/A   | N/A    |
| 11     | 7        | N/A    | N/A   | N/A    |
| 11     | 8        | N/A    | N/A   | N/A    |
| 11     | 9        | N/A    | N/A   | N/A    |
| 11     | 10       | N/A    | N/A   | N/A    |
| 11     | 13       | N/A    | N/A   | N/A    |
| 11     | 14       | N/A    | N/A   | N/A    |
| 11     | 15       | N/A    | N/A   | N/A    |
| 11     | 19       | N/A    | N/A   | N/A    |
| 11     | 18       | 0      | N/A   | 0      |
| 11     | 21       | N/A    | N/A   | N/A    |
| 11     | 20       | 0      | N/A   | 0      |
| 11     | 22       | N/A    | N/A   | N/A    |
| 11     | 23       | N/A    | N/A   | N/A    |
| 11     | 24       | N/A    | N/A   | N/A    |
| 11     | 25       | N/A    | N/A   | N/A    |
| 11     | 26       | N/A    | N/A   | N/A    |
| 11     | 27       | N/A    | N/A   | N/A    |
| 11     | 29       | N/A    | N/A   | N/A    |
| 11     | 30       | 0      | N/A   | 0      |
| 12     | 5        | N/A    | N/A   | N/A    |
| 12     | 6        | N/A    | N/A   | N/A    |
| 12     | 7        | N/A    | N/A   | N/A    |
| 12     | 8        | N/A    | N/A   | N/A    |
| 12     | 9        | N/A    | N/A   | N/A    |
| 12     | 10       | N/A    | N/A   | N/A    |
| 12     | 11       | N/A    | N/A   | N/A    |
| 12     | 12       | N/A    | N/A   | N/A    |
| 12     | 14       | N/A    | N/A   | N/A    |
| 12     | 15       | N/A    | N/A   | N/A    |
| 12     | 16       | N/A    | N/A   | N/A    |
| 12     | 17       | N/A    | N/A   | N/A    |
| 12     | 18       | N/A    | N/A   | N/A    |
| 12     | 19       | N/A    | N/A   | N/A    |
| 12     | 20       | N/A    | N/A   | N/A    |
| 12     | 21       | N/A    | N/A   | N/A    |
| 12     | 22       | N/A    | N/A   | N/A    |
| 12     | 23       | N/A    | N/A   | N/A    |
| 12     | 25       | N/A    | N/A   | N/A    |
| 12     | 26       | N/A    | N/A   | N/A    |
| 12     | 24       | 0      | N/A   | 0      |
| 12     | 30       | N/A    | N/A   | N/A    |
| 13     | 5        | N/A    | N/A   | N/A    |
| 13     | 6        | N/A    | N/A   | N/A    |
| 13     | 7        | N/A    | N/A   | N/A    |
| 12     | 29       | 0      | N/A   | 0      |
| 13     | 11       | N/A    | N/A   | N/A    |
| 13     | 12       | N/A    | N/A   | N/A    |
| 13     | 17       | 0      | N/A   | 0      |
| 13     | 18       | N/A    | N/A   | N/A    |
| 13     | 19       | N/A    | N/A   | N/A    |
| 13     | 20       | N/A    | N/A   | N/A    |
| 13     | 21       | N/A    | N/A   | N/A    |
| 13     | 22       | N/A    | N/A   | N/A    |
| 13     | 23       | N/A    | N/A   | N/A    |
