token,ltp,ltt
71992,56.3,1755834336
72036,42.4,1755834336
71971,53.45,1755834336
71987,107.25,1755834336
71990,73.6,1755834336
71973,67.8,1755834336
71990,73.65,1755834336
71971,53.25,1755834336
71987,107.3,1755834336
71989,132.65,1755834336
71988,94.35,1755834336
71969,41.7,1755834336
71989,132.8,1755834336
71988,93.9,1755834336
71975,86.15,1755834337
72040,23.1,1755834337
72038,31.25,1755834337
71973,68.15,1755834337
71992,55.7,1755834337
71969,42.05,1755834337
72036,42.3,1755834337
71971,53.55,1755834337
71990,73.6,1755834337
71987,107.95,1755834337
71989,133.1,1755834337
71988,94.3,1755834337
71975,86.2,1755834337
72040,23.3,1755834337
71975,86.45,1755834338
72040,23.4,1755834338
71992,56.5,1755834338
71987,107.8,1755834338
72038,31.65,1755834338
71973,68.35,1755834338
72038,31.85,1755834338
71973,68.4,1755834338
71969,42.3,1755834338
71988,94.55,1755834338
71992,56.65,1755834338
71990,74.1,1755834338
72036,42.55,1755834338
71971,54.05,1755834338
72036,42.7,1755834338
71971,54,1755834338
71987,108.6,1755834338
71989,133.6,1755834338
71988,94.85,1755834338
71975,86.9,1755834339
72038,31.6,1755834339
71973,69,1755834339
71992,56.3,1755834339
71969,42.45,1755834339
71975,87.15,1755834339
72040,23.35,1755834339
72036,42.35,1755834339
71971,54.15,1755834339
71990,73.5,1755834339
71987,108.65,1755834339
71989,134.05,1755834339
71988,94.75,1755834339
71989,133.45,1755834339
71987,108.3,1755834339
71973,68.65,1755834339
72038,31.85,1755834339
71992,57.2,1755834339
71969,42.4,1755834339
71988,95.2,1755834339
71990,74.4,1755834340
71971,54.25,1755834340
72036,42.95,1755834340
71975,86.95,1755834340
72040,23.65,1755834340
72038,32.1,1755834340
71973,68.95,1755834340
71992,57.3,1755834340
71969,42.55,1755834340
72036,43.3,1755834340
71971,54.4,1755834340
71990,74.7,1755834340
71987,108.6,1755834340
71989,133.35,1755834340
71988,95.8,1755834340
71975,86.85,1755834341
72040,24.15,1755834341
71975,86.95,1755834341
72038,32.55,1755834341
71973,69,1755834341
71989,133.1,1755834341
71992,58.25,1755834341
71988,96.75,1755834341
71973,68.95,1755834341
71992,57.8,1755834341
72036,43.7,1755834341
71971,54.7,1755834341
71990,75.55,1755834341
71990,75.2,1755834341
71987,109,1755834341
72036,43.65,1755834341
71989,134,1755834341
71988,96.15,1755834341
71969,43.2,1755834341
71975,87.15,1755834342
72040,24.05,1755834342
72038,32.45,1755834342
71973,69.4,1755834342
71969,43.1,1755834342
72036,43.35,1755834342
71971,54.9,1755834342
71990,74.95,1755834342
71987,109.5,1755834342
71989,134.45,1755834342
