ltp,ltt
22969.00,1738042574
22968.95,1738042574
22969.70,1738042575
22968.40,1738042575
22969.05,1738042576
22969.50,1738042576
22969.45,1738042577
22969.65,1738042577
22971.65,1738042578
22971.10,1738042578
22973.10,1738042579
22972.55,1738042579
22971.95,1738042580
22971.80,1738042580
22970.55,1738042581
22971.20,1738042581
22970.50,1738042582
22971.20,1738042582
22971.50,1738042583
22971.05,1738042583
22969.60,1738042584
22969.90,1738042584
22969.15,1738042585
22970.90,1738042585
22969.70,1738042586
22969.95,1738042586
22969.70,1738042587
22969.25,1738042587
22969.90,1738042588
22969.00,1738042588
22970.45,1738042589
22970.25,1738042589
22970.40,1738042590
22970.00,1738042590
22971.25,1738042591
22971.05,1738042591
22971.95,1738042592
22971.05,1738042592
22971.20,1738042593
22969.45,1738042593
22971.05,1738042594
22970.70,1738042594
22970.85,1738042595
22969.40,1738042595
22968.90,1738042596
22968.70,1738042596
22968.90,1738042597
22968.35,1738042597
22966.15,1738042598
22967.55,1738042598
22968.30,1738042599
22968.10,1738042599
22968.15,1738042600
22969.15,1738042600
22968.40,1738042601
22968.55,1738042601
22969.10,1738042602
22968.55,1738042602
22969.05,1738042603
22969.65,1738042603
22968.95,1738042604
22969.65,1738042604
22968.70,1738042605
22967.70,1738042605
22967.10,1738042606
22967.25,1738042606
22966.70,1738042607
22967.25,1738042607
22966.05,1738042608
22965.80,1738042608
22966.25,1738042609
22967.00,1738042609
22966.65,1738042610
22966.30,1738042610
22965.05,1738042611
22964.20,1738042611
22964.40,1738042612
22963.40,1738042612
22963.85,1738042613
22964.45,1738042613
22964.10,1738042614
22963.20,1738042614
22962.80,1738042615
22964.60,1738042615
22964.55,1738042616
22963.70,1738042616
22964.00,1738042617
22965.00,1738042617
22963.90,1738042618
22963.95,1738042618
22965.55,1738042619
22962.85,1738042619
22964.55,1738042620
22965.30,1738042620
22966.05,1738042621
22965.70,1738042621
22965.20,1738042622
22964.80,1738042622
22965.55,1738042623
22964.85,1738042623
22964.50,1738042624
22963.95,1738042624
22964.65,1738042625
22962.65,1738042626
22964.65,1738042626
22960.20,1738042627
22963.15,1738042627
22962.45,1738042628
22962.20,1738042628
22962.00,1738042629
22962.10,1738042629
22961.80,1738042630
22960.25,1738042630
22959.75,1738042631
22962.25,1738042631
22963.10,1738042632
22963.30,1738042632
22961.95,1738042633
22961.85,1738042633
22960.95,1738042634
22962.20,1738042634
22961.30,1738042635
22960.00,1738042635
22961.10,1738042636
22961.75,1738042636
22960.95,1738042637
22962.15,1738042637
22961.90,1738042638
22963.20,1738042638
22962.00,1738042639
22961.55,1738042639
22961.95,1738042640
22963.10,1738042640
22962.25,1738042641
22963.70,1738042641
22964.00,1738042642
22964.15,1738042642
22963.60,1738042643
22962.75,1738042643
22962.15,1738042644
22961.40,1738042645
22962.75,1738042645
22961.55,1738042646
22961.60,1738042646
22961.40,1738042647
22961.35,1738042647
22961.55,1738042648
22960.85,1738042648
22961.15,1738042649
22959.65,1738042649
22959.90,1738042650
22959.70,1738042650
22959.95,1738042651
22959.75,1738042651
22959.80,1738042652
22960.15,1738042652
22959.65,1738042653
22960.50,1738042653
22962.00,1738042654
22962.60,1738042654
22962.35,1738042655
22962.65,1738042655
22962.20,1738042656
22962.70,1738042656
22962.90,1738042657
22962.20,1738042657
22962.25,1738042658
22961.35,1738042658
22960.70,1738042659
22957.60,1738042659
22957.10,1738042660
22958.20,1738042660
22957.55,1738042661
22957.65,1738042661
22957.95,1738042662
22958.50,1738042662
22959.15,1738042663
22958.75,1738042663
22958.80,1738042664
22958.45,1738042664
22958.65,1738042665
22958.05,1738042665
22959.20,1738042666
22959.15,1738042666
22958.85,1738042667
22960.00,1738042667
22959.85,1738042668
22959.75,1738042668
22958.15,1738042669
22959.00,1738042669
22958.30,1738042670
22958.65,1738042670
22957.60,1738042671
22959.40,1738042671
22958.70,1738042672
22958.75,1738042672
22959.75,1738042673
22958.40,1738042673
22959.50,1738042674
22959.40,1738042674
22959.25,1738042675
22958.95,1738042675
22959.55,1738042676
22959.80,1738042676
22961.15,1738042677
22960.65,1738042677
22960.80,1738042678
22960.20,1738042678
22961.15,1738042679
22959.55,1738042679
22959.95,1738042680
22959.90,1738042680
22958.55,1738042681
22958.25,1738042681
22959.05,1738042682
22963.15,1738042682
