indicator,good,bad,oscillating,total,success_rate,interval_label
Bollinger_20_1.5__AND__RSI_15_80_20_REV,1,2,0,3,33.33,5min
Bollinger_20_2__AND__Bollinger_30_1,2,4,0,6,33.33,5min
Bollinger_20_2__AND__Bollinger_30_1.5,2,4,0,6,33.33,5min
Bollinger_20_2__AND__Bollinger_30_2,2,4,0,6,33.33,5min
Bollinger_20_2__AND__EMA_18_42,1,2,0,3,33.33,5min
Bollinger_20_2__AND__EMA_27_63,1,2,0,3,33.33,5min
Bollinger_20_2__AND__ADX_20,1,2,0,3,33.33,5min
Bollinger_20_2__AND__RSI_10_70_30_REV,2,4,0,6,33.33,5min
Bollinger_20_2__AND__RSI_14_70_30_REV,2,4,0,6,33.33,5min
Bollinger_25_1__AND__EMA_21_49,2,4,1,6,33.33,5min
Bollinger_25_1__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
Bollinger_25_1.5__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
Bollinger_25_2__AND__RSI_15_80_20_REV,1,2,0,3,33.33,5min
Bollinger_30_1__AND__EMA_21_49,2,4,1,6,33.33,5min
Bollinger_30_1__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
Bollinger_30_1.5__AND__EMA_9_21,1,2,1,3,33.33,5min
Bollinger_30_1.5__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
Bollinger_30_2__AND__RSI_15_80_20_REV,1,2,0,3,33.33,5min
EMA_12_28__AND__RSI_10_70_30_REV,2,4,1,6,33.33,5min
